@_fa,prism:url,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,affiliation,prism:aggregationType,subtype,subtypeDescription,openaccess,openaccessFlag,prism:eIssn,freetoread,freetoreadLabel,prism:issueIdentifier
true,https://api.elsevier.com/content/abstract/scopus_id/105048829226,2-s2.0-105048829226,Design of Additively Manufactured Ni-Based Superalloys Based on Solid Solution Elements,Zhang X.,Jinshu Xuebao Acta Metallurgica Sinica,04121961,62,1395-1404,2026-08-01,Aug. 2026,10.11900/0412.1961.2024.00239,1,"[{'@_fa': 'true', 'affilname': 'University of Science and Technology of China', 'affiliation-city': 'Hefei', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Institute of Metal Research Chinese Academy of Sciences', 'affiliation-city': 'Shenyang', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Shenyang Aerospace University', 'affiliation-city': 'Shenyang', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,,8
true,https://api.elsevier.com/content/abstract/scopus_id/105047961740,2-s2.0-105047961740,Fatigue Life Prediction of Laser Additively Manufactured GH4169 Based on Data Augmentation,Zhehe Y.,Zhongguo Jiguang Chinese Journal of Lasers,02587025,53,,2026-08-01,August 2026,10.3788/CJL251184,0,"[{'@_fa': 'true', 'affilname': 'Northwestern Polytechnical University', 'affiliation-city': ""Xi'an"", 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Zhejiang University of Technology', 'affiliation-city': 'Hangzhou', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Collaborative Innovation Center of High-end Laser Manufacturing Equipment', 'affiliation-city': 'Hangzhou', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,,16
true,https://api.elsevier.com/content/abstract/scopus_id/105047154304,2-s2.0-105047154304,Instability in single-crystal epitaxy during laser powder bed fusion driven by solidification interface morphology,Peng Y.,Additive Manufacturing,,128,,2026-07-25,25 July 2026,10.1016/j.addma.2026.105339,0,"[{'@_fa': 'true', 'affilname': 'Tohoku University', 'affiliation-city': 'Sendai', 'affiliation-country': 'Japan'}, {'@_fa': 'true', 'affilname': 'Northwestern Polytechnical University', 'affiliation-city': ""Xi'an"", 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Hunan University', 'affiliation-city': 'Changsha', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Institute of Metal Research Chinese Academy of Sciences', 'affiliation-city': 'Shenyang', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Shimane University', 'affiliation-city': 'Matsue', 'affiliation-country': 'Japan'}, {'@_fa': 'true', 'affilname': 'State Key Laboratory of Solidification Processing', 'affiliation-city': ""Xi'an"", 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'School of Materials Science and Engineering', 'affiliation-city': 'Zhengzhou', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Beijing Institute of Aeronautical Materials', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,22148604,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105047279506,2-s2.0-105047279506,Enhancing fatigue resistance of additively manufactured novel Ni-based superalloy via crystal orientation and intergranular strain compatibility: An experimental and numerical investigation,Meng H.,Additive Manufacturing,,128,,2026-07-25,25 July 2026,10.1016/j.addma.2026.105347,0,"[{'@_fa': 'true', 'affilname': 'Northwestern Polytechnical University', 'affiliation-city': ""Xi'an"", 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'National Key Laboratory of Aerospace Liquid Propulsion', 'affiliation-city': ""Xi'an"", 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,22148604,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105046559765,2-s2.0-105046559765,On the scattering of high-cycle fatigue life of laser directed energy deposition repaired Inconel 718 superalloy,Zhou Y.,Additive Manufacturing,,127,,2026-07-05,5 July 2026,10.1016/j.addma.2026.105321,0,"[{'@_fa': 'true', 'affilname': ""State Key Laboratory for Manufacturing Systems Engineering, Xi'an Jiaotong University"", 'affiliation-city': ""Xi'an"", 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'BYD Company Ltd.', 'affiliation-city': 'Shenzhen', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,22148604,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105047698815,2-s2.0-105047698815,Effects of powder forming method and heat treatment process on microstructure and mechanical properties of ATI 718Plus alloy by laser additive manufacturing,Zhang Z.P.,China Foundry,16726421,,,2026-01-01,2026,10.1007/s41230-026-4211-9,0,"[{'@_fa': 'true', 'affilname': 'Northeastern University', 'affiliation-city': 'Shenyang', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Institute of Metal Research Chinese Academy of Sciences', 'affiliation-city': 'Shenyang', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Shenyang University of Technology', 'affiliation-city': 'Shenyang', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Key Laboratory for Anisotropy and Texture of Materials, Ministry of Education, Northeastern University', 'affiliation-city': 'Shenyang', 'affiliation-country': 'China'}]",Journal,ar,Article,1,True,23659459,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",
true,https://api.elsevier.com/content/abstract/scopus_id/105046485878,2-s2.0-105046485878,Additive Manufacturing-Induced Deformation Mechanisms in Co–Ni Superalloys Revealed by Integration of 3D EBSD and In Situ Digital Image Correlation,Lamb J.D.,Advanced Engineering Materials,14381656,,,2026-01-01,2026,10.1002/adem.71127,0,"[{'@_fa': 'true', 'affilname': 'The Robert Mehrabian College of Engineering', 'affiliation-city': 'Santa Barbara', 'affiliation-country': 'United States'}]",Journal,ar,Article,0,False,15272648,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105046812639,2-s2.0-105046812639,Achieving and stabilizing fine near-equiaxed grains in additively manufactured Ni-superalloys,Wang Z.,Materials Research Letters,,,,2026-01-01,2026,10.1080/21663831.2026.2713907,0,"[{'@_fa': 'true', 'affilname': ""Xi'an Jiaotong University"", 'affiliation-city': ""Xi'an"", 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Tianjin University', 'affiliation-city': 'Tianjin', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Technical University of Denmark', 'affiliation-city': 'Lyngby', 'affiliation-country': 'Denmark'}, {'@_fa': 'true', 'affilname': 'Taishan Fiberglass Inc.', 'affiliation-city': ""Tai'an"", 'affiliation-country': 'China'}]",Journal,ar,Article,1,True,21663831,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",
true,https://api.elsevier.com/content/abstract/scopus_id/105047795088,2-s2.0-105047795088,Defect size effect in additively manufactured nickel-based superalloys from formation mechanisms to fatigue and mechanical properties—a review,Liu F.,Journal of Materials Science,00222461,,,2026-01-01,2026,10.1007/s10853-026-13532-y,0,"[{'@_fa': 'true', 'affilname': 'University of Chinese Academy of Sciences', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Beijing University of Chemical Technology', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Institute of Mechanics Chinese Academy of Sciences', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Inner Mongolia University of Science and Technology', 'affiliation-city': 'Baotou', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'AECC Hunan Aviation Powerplant Research Institute', 'affiliation-city': 'Zhuzhou', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Ltd.', 'affiliation-city': ""Xi'an"", 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Inner Mongolia Institute of Metal Materials', 'affiliation-city': 'Baotou', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': '32382 Troops of PLA', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}]",Journal,re,Review,0,False,15734803,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105046953791,2-s2.0-105046953791,Hydrogen-Enhanced Stress Corrosion Cracking of Wire Arc Additive Manufactured Inconel 625 Superalloy in NaCl Solution: Mechanism of Synergistic Degradation,Zhang X.,Materials and Corrosion,09475117,,,2026-01-01,2026,10.1002/maco.70228,0,"[{'@_fa': 'true', 'affilname': 'Institute of Metal Research Chinese Academy of Sciences', 'affiliation-city': 'Shenyang', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Swanson School of Engineering', 'affiliation-city': 'Pittsburgh', 'affiliation-country': 'United States'}, {'@_fa': 'true', 'affilname': 'Nanjing Institute of Technology', 'affiliation-city': 'Nanjing', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Zhejiang KAYO Co. Ltd.', 'affiliation-city': 'Lishui', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,15214176,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105048300766,2-s2.0-105048300766,Enhancing Surface Geometry of Stelcar 65 through Optimization of Laser Power and Scanning Speed in Laser Direct Metal Deposition,Kumar S.P.,Journal of Materials Engineering and Performance,10599495,,,2026-01-01,2026,10.1007/s11665-026-14939-z,0,"[{'@_fa': 'true', 'affilname': 'PSG College of Technology', 'affiliation-city': 'Coimbatore', 'affiliation-country': 'India'}, {'@_fa': 'true', 'affilname': 'Indian Maritime University', 'affiliation-city': 'Chennai', 'affiliation-country': 'India'}]",Journal,ar,Article,0,False,15441024,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105047502639,2-s2.0-105047502639,Contrasting Effects of TiN and W on Cracking in LPBF Inconel 939,Mariana S.D.L.,3D Printing and Additive Manufacturing,23297662,,,2026-01-01,2026,10.1177/23297662261447324,1,"[{'@_fa': 'true', 'affilname': 'School of Materials Science and Engineering', 'affiliation-city': 'Singapore City', 'affiliation-country': 'Singapore'}, {'@_fa': 'true', 'affilname': 'A-Star, Institute of Materials Research and Engineering', 'affiliation-city': 'Singapore City', 'affiliation-country': 'Singapore'}]",Journal,ar,Article,0,False,23297670,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105046847977,2-s2.0-105046847977,Opportunities and Challenges of Technical Ceramics for Thermal Management in Aviation,Mazzei L.,Lecture Notes in Mechanical Engineering,21954356,,101-120,2026-01-01,2026,10.1007/978-3-032-30740-8_5,0,"[{'@_fa': 'true', 'affilname': 'Ergon Research', 'affiliation-city': 'Florence', 'affiliation-country': 'Italy'}, {'@_fa': 'true', 'affilname': 'Lithoz GmgH', 'affiliation-city': 'Vienna', 'affiliation-country': 'Austria'}]",Book Series,cp,Conference Paper,0,False,21954364,,,
